session,request,turn,step,seq,time,model,miss_tokens,hit_tokens,output_tokens,reasoning_tokens
07177b45,1,1,1,75,1786754841031,deepseek-v4-flash,8350,0,87,23
07177b45,2,1,2,155,1786754842578,deepseek-v4-flash,722,8320,71,0
3980647f,1,1,1,312,1786754990480,deepseek-v4-flash,826,7552,332,204
3980647f,2,1,2,424,1786754992110,deepseek-v4-flash,272,8704,141,56
3980647f,3,1,3,578,1786754993711,deepseek-v4-flash,72,9088,146,0
57ea551b,1,1,1,110,1786759100625,deepseek-v4-flash,803,7552,130,47
57ea551b,2,1,2,162,1786759102333,deepseek-v4-flash,353,8448,83,0
57ea551b,3,1,3,225,1786759104075,deepseek-v4-flash,105,8832,53,36
6924698f,1,1,1,120,1786757261251,deepseek-v4-flash,812,7552,140,45
6924698f,2,1,2,235,1786757262894,deepseek-v4-flash,86,8448,104,29
b962c94f,1,1,1,132,1786755013070,deepseek-v4-flash,822,7552,152,87
b962c94f,2,1,2,280,1786755015000,deepseek-v4-flash,344,8448,199,33
b962c94f,3,1,3,314,1786755016070,deepseek-v4-flash,94,8960,64,0
b962c94f,4,1,4,425,1786755017492,deepseek-v4-flash,263,9088,103,0
bfecebd5,1,1,1,132,1786754868287,deepseek-v4-flash,6564,1792,152,87
bfecebd5,2,1,2,372,1786754870750,deepseek-v4-flash,271,8448,294,148
bfecebd5,3,1,3,656,1786754873138,deepseek-v4-flash,214,8960,272,31
f6d8fcbb,1,1,1,156,1786754905860,deepseek-v4-flash,810,7552,176,90
f6d8fcbb,2,1,2,202,1786754906960,deepseek-v4-flash,147,8448,35,14
